run_id,benchmark,arm,model,repeat,phase,stage,count
e1c_d,tsvc/s3112,default,claude-haiku-4-5-20251001,1,B,correctness,1
e1c_d,tsvc/s3112,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_d,tsvc/s3112,default,claude-haiku-4-5-20251001,2,B,correctness,1
e1c_d,tsvc/s3112,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_d,tsvc/s3112,default,claude-haiku-4-5-20251001,3,B,correctness,1
e1c_d,tsvc/s3112,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_d,tsvc/s3112,discopop_gate,claude-haiku-4-5-20251001,1,B,correctness,1
e1c_d,tsvc/s3112,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_d,tsvc/s3112,discopop_gate,claude-haiku-4-5-20251001,2,B,schedules,1
e1c_d,tsvc/s3112,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_d,tsvc/s3112,discopop_gate,claude-haiku-4-5-20251001,3,B,correctness,1
e1c_d,tsvc/s321,default,claude-haiku-4-5-20251001,1,A,correctness,7
e1c_d,tsvc/s321,default,claude-haiku-4-5-20251001,2,A,correctness,1
e1c_d,tsvc/s321,default,claude-haiku-4-5-20251001,2,B,schedules,1
e1c_d,tsvc/s321,default,claude-haiku-4-5-20251001,3,A,correctness,8
e1c_d,tsvc/s322,default,claude-haiku-4-5-20251001,1,A,correctness,1
e1c_d,tsvc/s322,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_d,tsvc/s322,default,claude-haiku-4-5-20251001,2,A,correctness,7
e1c_d,tsvc/s322,default,claude-haiku-4-5-20251001,3,A,correctness,9
e1c_d,tsvc/s323,default,claude-haiku-4-5-20251001,1,A,correctness,2
e1c_d,tsvc/s323,default,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_d,tsvc/s323,default,claude-haiku-4-5-20251001,2,A,correctness,6
e1c_d,tsvc/s323,default,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_d,tsvc/s323,default,claude-haiku-4-5-20251001,3,A,correctness,5
e1c_d,tsvc/s323,default,claude-haiku-4-5-20251001,3,B,tsan,1
e1c_d,tsvc/s323,discopop_gate,claude-haiku-4-5-20251001,1,B,tsan,1
e1c_d,tsvc/s323,discopop_gate,claude-haiku-4-5-20251001,2,B,tsan,1
e1c_d,tsvc/s323,discopop_gate,claude-haiku-4-5-20251001,3,B,tsan,1
